tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt4661818	video	Bogaziçi Caz Korosu: 8 Mart dünya kadinlar günü	Bogaziçi Caz Korosu: 8 Mart dünya kadinlar günü	0	2015	\N	2	Music,Short
tt2855892	short	The Geiranger and Hardanger Falls	The Geiranger and Hardanger Falls	0	1903	\N	\N	Documentary,Short
tt0789720	tvEpisode	Croppity Crops	Croppity Crops	0	2006	\N	28	Comedy
tt8777114	tvEpisode	Episode #1.20	Episode #1.20	0	1968	\N	\N	\N
tt0520184	tvEpisode	Jenny: Part 2	Jenny: Part 2	0	1989	\N	\N	Adventure,Comedy
tt4809220	tvEpisode	Pose	Pose	0	2015	\N	11	Drama
tt9430854	tvEpisode	Episode dated 13 December 2018	Episode dated 13 December 2018	0	2018	\N	\N	\N
tt9247530	tvEpisode	Episode #1.5	Episode #1.5	0	\N	\N	\N	Talk-Show
tt0770882	tvEpisode	DR-Deroppe i Norge - Part 1: En gammel gård i Gudbrandsdalen	DR-Deroppe i Norge - Part 1: En gammel gård i Gudbrandsdalen	0	1992	\N	\N	Biography,Documentary,History
tt9012170	video	Dior: Terminal 3	Dior: Terminal 3	0	2014	\N	2	Short
tt7849914	tvEpisode	Alexis Weissenberg ou l'exigence de la liberté	Alexis Weissenberg ou l'exigence de la liberté	0	1985	\N	\N	Music
tt2142555	tvEpisode	Episode #1.3	Episode #1.3	0	2009	\N	\N	Reality-TV
tt0385764	video	The Hustle	The Hustle	0	2003	\N	93	Comedy
tt0714221	tvEpisode	The Woman Turned to Salt	The Woman Turned to Salt	0	1958	\N	60	Crime,Drama,Mystery
tt11869548	tvEpisode	Episode #1.1477	Episode #1.1477	0	\N	\N	\N	Crime
tt1746799	tvEpisode	Episode #4.163	Episode #4.163	0	2010	\N	\N	Comedy,Talk-Show
tt4899398	tvSpecial	Alternative Press Music Awards	Alternative Press Music Awards	0	2015	\N	\N	Music
tt1687838	tvEpisode	Wer andern eine Grube gräbt...	Wer andern eine Grube gräbt...	0	2008	\N	\N	Talk-Show
tt1053294	video	Muscle Ranch II	Muscle Ranch II	1	2007	\N	120	Adult
tt0701641	tvEpisode	The Mummy/The Castle/This Is My Father/A Midsummer Night's Dream/Lovers of the Arctic Circle	The Mummy/The Castle/This Is My Father/A Midsummer Night's Dream/Lovers of the Arctic Circle	0	1999	\N	\N	Talk-Show
tt9837778	short	Enamorao de ti	Enamorao de ti	0	2016	\N	23	Documentary,Short
tt5112776	tvMovie	Critical Hit!	Critical Hit!	0	2007	\N	7	Comedy,Fantasy
tt4205086	tvEpisode	Renaissance	Renaissance	0	2013	\N	\N	Comedy
tt7861688	tvEpisode	A Message for Jack Dorsey: O'Keefe Teases Next Undercover Twitter Video	A Message for Jack Dorsey: O'Keefe Teases Next Undercover Twitter Video	0	2018	\N	1	News
tt10690070	tvEpisode	Episode #2.73	Episode #2.73	0	2000	\N	\N	Drama
tt0794571	tvEpisode	Esto no es un juego	Esto no es un juego	0	1998	\N	\N	Comedy,Drama,Romance
tt8005242	tvMiniSeries	The Georja and Marcello Show	The Georja and Marcello Show	0	2003	2006	\N	Comedy
tt3506260	short	Harry Smith	Harry Smith	0	2014	\N	15	Drama,Fantasy,Short
tt0555403	tvEpisode	Episode #1.10226	Episode #1.10226	0	2006	\N	\N	Drama,Romance
